402	Marche-en-Famenne	50.22678	5.34416	749
403	Marchienne-au-Pont	50.40573	4.3953	749
404	Marchin	50.46707	5.2428	749
405	Marcinelle	50.39216	4.44388	749
406	Mariakerke			0
407	Marrel			0
408	Martilly			0
409	Mechelen	51.02574	4.47762	749
410	Meerbeek	50.88213	4.58972	749
411	Meerbeke	51.124722	3.6925	749
412	Meerhout	51.1321	5.07842	749
413	Meerssen	50.8875	5.75	749
414	Meeuwen	51.7275	5.0103	749
415	Meigem	51.01746	3.54106	749
416	Memmingen	47.98372	10.18527	724
417	Menen	50.79722	3.12245	749
418	Merbes-le-Château	50.32449	4.16489	749
419	Merendree	51.0766	3.576	749
420	Merksem	51.24623	4.44903	749
421	Mespelare	50.99613	4.06883	749
422	Mettet	50.32119	4.66232	0
423	Mezières			725
424	Middelburg			0
425	Middelburg	51.25608	3.41595	748
426	Miskom	50.89552	5.01233	749
427	Moerbeke			0
428	Moergestel	51.54417	5.17778	748
429	Moerzeke	51.06914	4.16137	749
430	Moeskroen	50.74497	3.20639	749
431	Mol	51.19188	5.11662	749
432	Molac	47.73017	-2.43501	725
433	Molenbeek	50.91963	4.94163	749
434	Momignies	50.0271	4.16519	749
435	Momonia	52.34333	-8.71667	307
436	Moneen			307
437	Mont			0
438	Montrœul	50.43821	3.70591	0
439	Montzen	50.70793	5.96223	0
440	Moorslede	50.8919	3.06117	749
441	Morkhoven	51.11888	4.81877	749
442	Morlanwelz	50.45502	4.24519	749
443	Moustij as Diliam			0
444	Muizen			0
445	Namen	50.4669	4.86746	749
446	Naust	57.78333	-5.65	0
447	Neerheylissem	50.75839	4.9883	749
448	Neerlanden	50.778	5.07819	749
449	Neerlinter	50.83971	5.02287	749
450	Neerpelt	51.22807	5.4427	749
451	Neufvilles	50.57107	4.00041	749
452	Neupont	50.06667	5.13333	749
453	Nevele	51.03531	3.54574	749
454	Nieuwkerk	51.4875	5.0375	749
455	Nieuwpoort			749
456	Nijmegen	51.8425	5.85278	748
457	Nijvel	50.59833	4.32848	749
458	Nimy	50.47668	3.95516	749
459	Ninove	50.82776	4.02657	749
460	Noirchain	50.40283	3.9259	749
461	Nokere	50.88541	3.5101	0
462	Noorderwijk	51.14122	4.84061	749
463	Noordpeene	50.80683	2.40041	725
464	Noville-les-Bois	50.55702	4.98466	749
465	Oelegem	51.2131	4.59832	749
466	Oevel	51.13789	4.90471	749
467	Offus	50.65214	4.90799	0
468	Ogy	50.7197	3.7803	749
469	Oirschot	51.505	5.31389	748
470	Oldenzaal	52.31333	6.92917	748
471	Olen			749
472	Olmen	51.14228	5.14999	749
473	Olne	50.58994	5.74662	749
474	Onze-Lieve-Vrouw-Lombeek	50.82004	4.11035	749
475	Oorbeek	50.7991	4.89235	749
476	Oostende	51.21551	2.927	749
477	Oosterhout	51.6433	4.8567	748
478	Oostham	51.10374	5.17877	749
479	Oostnieuwkerke	50.93959	3.05742	749
480	Oostvleteren	50.93319	2.74119	749
481	Oostwinkel	51.15155	3.53204	749
482	Ootmarsum	52.40833	6.90139	748
483	Opdorp	51.02806	4.21801	749
484	Orsmaal-Gussenhoven	50.80528	5.06178	749
485	Oss	51.765	5.51806	748
486	Ottignies	50.66535	4.56679	749
487	Oud Genepiën	50.60846	4.44097	0
488	Oude-Tonge	51.69167	4.21389	749
489	Oudekapelle	51.01317	2.80844	749
490	Oudenaarde	50.85168	3.60891	749
491	Oultremont			0
492	Outer	50.84189	3.9987	749
493	Papenhausen	52.05339	8.83824	724
494	Papuelles			0
495	Paris	48.85341	2.3488	725
496	Park			0
497	Pâturages	50.4072	3.855	749
498	Peer	51.1303	5.45952	749
499	Pellen	50.72673	5.0071	749
