219	Geldern	51.51908	6.32363	724		import from Matrikels2-0_PublicationVersion_20230816
220	Geldrop	51.42167	5.55972	748		import from Matrikels2-0_PublicationVersion_20230816
221	Gelinden	50.7656	5.26121	749		import from Matrikels2-0_PublicationVersion_20230816
222	Geluwe	50.80978	3.07695	749		import from Matrikels2-0_PublicationVersion_20230816
223	Gemert	51.55583	5.69028	748		import from Matrikels2-0_PublicationVersion_20230816
224	Genepiën	50.61173	4.45152	0		import from Matrikels2-0_PublicationVersion_20230816
225	Gent	51.05	3.71667	749		import from Matrikels2-0_PublicationVersion_20230816
226	Gentinnes	50.57839	4.60705	749		import from Matrikels2-0_PublicationVersion_20230816
227	Geraardsbergen	50.77343	3.88223	0		import from Matrikels2-0_PublicationVersion_20230816
228	Gestel	51.425	5.4617000000000004	749		import from Matrikels2-0_PublicationVersion_20230816
229	Geten	50.68136	4.95563	0		import from Matrikels2-0_PublicationVersion_20230816
230	Gierle	51.26852	4.86733	749		import from Matrikels2-0_PublicationVersion_20230816
231	Gijverinkhove	50.97609	2.67252	749		import from Matrikels2-0_PublicationVersion_20230816
232	Gijzegem	50.98602	4.04938	749		import from Matrikels2-0_PublicationVersion_20230816
233	Gilly			0		import from Matrikels2-0_PublicationVersion_20230816
234	Gingelom	50.74792	5.13422	749		import from Matrikels2-0_PublicationVersion_20230816
235	Gives			0		import from Matrikels2-0_PublicationVersion_20230816
236	Godewaersvelde	50.79399	2.64456	0		import from Matrikels2-0_PublicationVersion_20230816
237	Goessem			0		import from Matrikels2-0_PublicationVersion_20230816
238	Gorinchem	51.83652	4.97243	748		import from Matrikels2-0_PublicationVersion_20230816
239	Gosselies	50.46936	4.43324	749		import from Matrikels2-0_PublicationVersion_20230816
240	Gottignies	50.4953	4.05996	749		import from Matrikels2-0_PublicationVersion_20230816
241	Gozée	50.33461	4.35273	749		import from Matrikels2-0_PublicationVersion_20230816
242	Grand-Leez	50.58389	4.7751	749		import from Matrikels2-0_PublicationVersion_20230816
243	Grand-Rechain	50.60765	5.81108	749		import from Matrikels2-0_PublicationVersion_20230816
244	Grimbergen	50.93409	4.37213	749		import from Matrikels2-0_PublicationVersion_20230816
245	Groningen	53.21917	6.56667	748		import from Matrikels2-0_PublicationVersion_20230816
246	Gronsveld	50.81083	5.73056	748		import from Matrikels2-0_PublicationVersion_20230816
247	Grummelscheid	49.98343	5.87072	0		import from Matrikels2-0_PublicationVersion_20230816
248	Gulke	50.60657	5.95614	749		import from Matrikels2-0_PublicationVersion_20230816
249	Haaltert	50.90634	4.00093	749		import from Matrikels2-0_PublicationVersion_20230816
250	Haarlem	52.38084	4.63683	748		import from Matrikels2-0_PublicationVersion_20230816
251	Halen			749		import from Matrikels2-0_PublicationVersion_20230816
252	Halle	50.73385	4.23454	749		import from Matrikels2-0_PublicationVersion_20230816
